    1,     239.9,     arm26_0g.osim,    1,  -90,    0,   90,    0.6284,    0.3504,   20,   18 
    2,     313.4,     arm26_0g.osim,    1,  -90,    0,  130,    0.5609,    0.2214,   36,   98 
    3,     108.6,     arm26_0g.osim,    1,  -90,   90,  130,    0.1681,    0.0048,    0,    0 
    4,     165.7,     arm26_0g.osim,    1,  -45,    0,   90,    0.1751,    0.0332,    0,    0 
    5,     219.6,     arm26_0g.osim,    1,  -45,    0,  130,    0.1594,    0.0306,    0,    0 
    6,     117.4,     arm26_0g.osim,    1,  -45,   90,  130,    0.0403,    0.0018,    0,    0 
    7,     198.2,     arm26_0g.osim,    1,    0,    0,   90,    0.1197,    0.0403,    0,    0 
    8,     308.3,     arm26_0g.osim,    1,    0,    0,  130,    0.1308,    0.0435,    0,    0 
    9,     176.6,     arm26_0g.osim,    1,    0,   90,  130,    0.1197,    0.0094,    0,    0 
   10,     300.1,     arm26_0g.osim,    1,   45,    0,   90,    1.4007,    0.5891,  236,  143 
   11,     511.6,     arm26_0g.osim,    1,   45,    0,  130,    1.3329,    0.7608,  321,  183 
   12,     297.3,     arm26_0g.osim,    1,   45,   90,  130,    0.1957,    0.0020,    0,    0 
   13,     633.3,     arm26_0g.osim,    1,   90,    0,   90,    0.0503,    0.2430,  225,  332 
   14,     934.5,     arm26_0g.osim,    1,   90,    0,  130,    0.6379,    0.8719,  287,  453 
   15,     452.0,     arm26_0g.osim,    1,   90,   90,  130,    0.0448,    0.0069,  216,    0 
   16,     609.2,     arm26_0g.osim,    1,  135,    0,   90,    0.0264,    0.2314,    0,  122 
   17,    1409.7,     arm26_0g.osim,    1,  135,    0,  130,    0.0237,    0.3147,   72,  357 
   18,    1223.9,     arm26_0g.osim,    1,  135,   90,  130,    0.0648,    0.0224,    0,    0 
   19,     390.2,     arm26_0g.osim,    1,  180,    0,   90,    0.2202,    0.8505,    0,   50 
   20,     662.9,     arm26_0g.osim,    1,  180,    0,  130,    0.2971,    0.7622,    0,  316 
   21,     246.5,     arm26_0g.osim,    1,  180,   90,  130,    0.1508,    0.0263,    0,    0 
   22,     298.5,     arm26_0g.osim,   -1,  -90,    0,   90,    0.7742,    0.4513,   11,    0 
   23,     370.3,     arm26_0g.osim,   -1,  -90,    0,  130,    0.7329,    0.4022,   35,    0 
   24,     129.5,     arm26_0g.osim,   -1,  -90,   90,  130,    0.1747,    0.0059,    0,    0 
   25,     212.7,     arm26_0g.osim,   -1,  -45,    0,   90,    0.3941,    0.0290,    0,    0 
   26,     263.4,     arm26_0g.osim,   -1,  -45,    0,  130,    0.3264,    0.0236,    0,    0 
   27,     108.5,     arm26_0g.osim,   -1,  -45,   90,  130,    0.0162,    0.0041,    0,    0 
   28,     153.0,     arm26_0g.osim,   -1,    0,    0,   90,    0.3088,    0.1076,    0,    0 
